"","","","kultgames","","versusgamecenter","","arenaporto","","gameplay","","jogonamesa","","dracotienda","","cultodacaixa","","gglounge","","diver","","juegosdelamesaredonda","","planetongames","","amazon.es","","devir"
"Grand Austria Hotel ES","42.46","juegosdelamesaredonda.com","0",,"0",,"0",,"0",,"0",,"45.0","Fuera de stock","0",,"0",,"0",,"42.46","EN REPOSICIÓN","0",,"0",,"0",
"Great Western Trail","36.9","juegosdelamesaredonda.com","49.95","Delivery in 1 to 2 weeks time","0",,"0",,"49.99","Em stock","38.0","17 dias","40.46","Fuera de stock","0.0","esgotado","0",,"49.49","Encomenda ao fornecedor","36.9","EN REPOSICIÓN","39.55","Este producto ya no está disponible","10000.0","Not found.","0",
"Great Western Trail: Rails to the North","29.99","gameplay.pt","0",,"0",,"0",,"29.99","Em stock","0.0","esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"10000.0","Not found.","0",
"Hadara","31.5","www.planetongames.com","0",,"0",,"42.74","Últimos artigos em stock","43.64","Última unidade em stock","41.0","em 17 dias","40.5","Fuera de stock","0.0","esgotado","0",,"44.99","Disponível","40.45","EN REPOSICIÓN","31.5","Este producto ya no está disponible","10000.0","Not found.","2000.0","not implemented yet"
"Harry Potter: Catch the Snitch","0","","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Machi Koro","26.27","jogonamesa.pt","0",,"0",,"0",,"0",,"26.27","em 17 dias","45.95","Disponible","0.0","esgotado","0",,"35.99","Encomenda ao fornecedor","0",,"0",,"10000.0","Not found.","0",
"Moonrakers","0","","0",,"0",,"0",,"0",,"0.0","esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"New York Zoo","29.16","jogonamesa.pt","0",,"0",,"0",,"35.9","Em stock","29.16","em 17 dias","31.5","Fuera de stock","36.9","Out of stock","37.9","Only 2 left in stock","0",,"29.71","EN REPOSICIÓN","31.5","Este producto ya no está disponible","10000.0","Not found.","0",
"Nidavellir","27.92","jogonamesa.pt","39.95","in stock","36.9","Disponível","39.99","Últimos artigos em stock","34.99","Última unidade em stock","27.92","em 24 dias","31.5","Disponible","32.9","Out of stock","0",,"35.99","Disponível","29.71","EN STOCK","31.5","Producto en stock","10000.0","Not found.","0",
"Obsession","62.9","cultodacaixa.pt","0",,"0",,"0",,"79.95","Esgotado","0.0","esgotado","0",,"62.9","Encomendar","0",,"0",,"0",,"0",,"0",,"0",
"Port Royal","10.95","gameplay.pt","0",,"0",,"14.24","Esgotado","10.95","Em stock","11.0","em 24 dias","15.26","Disponible","0.0","esgotado","11.9","Only 1 left in stock","14.99","Encomenda ao fornecedor","11.65","EN REPOSICIÓN","15.25","Este producto ya no está disponible","0",,"0",
"Port Royal Big Box","21.9","gglounge.pt","0",,"0",,"0",,"0",,"0",,"0",,"0",,"21.9","Only 2 left available for pre-ordering (can be backordered)","0",,"22.46","PRE-PEDIDO. DISPONIBLE EN EL PRIMER TRIMESTRE DE 2022","0",,"10000.0","Not found.","0",
"The Quacks of Quedlinburg","34.12","jogonamesa.pt","0",,"0",,"0",,"49.95","Esgotado","34.12","24 dias","0",,"0.0","esgotado","35.9","In stock","0",,"0",,"0",,"10000.0","Not found.","0",
"Raiders of the North Sea","42.9","cultodacaixa.pt","0",,"0",,"59.99","Esgotado","53.95","Em stock","49.3","em 17 dias","0",,"42.9","Out of stock","0",,"57.99","Encomenda ao fornecedor","0",,"0",,"10000.0","Not found.","0",
"Rival Restaurants","0","","0",,"0",,"0",,"0",,"0.0","esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"Rocketmen","0","","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"7 Wonders","40.45","juegosdelamesaredonda.com","49.5","Delivery in 1 to 2 weeks time","50.9","Temporariamente Esgotado","49.99","Esgotado","44.95","Em stock","42.0","em 17 dias","44.99","Disponible","44.9","Out of stock","43.4","Only 2 left in stock","49.99","Disponível","40.45","EN STOCK","44.99","Este producto ya no está disponible","10000.0","Not found.","0",
"Space Base","34.9","cultodacaixa.pt","0",,"0",,"0",,"41.9","Última unidade em stock","39.0","Esgotado","39.99","Fuera de stock","34.9","Em stock","0",,"0",,"37.36","EN REPOSICIÓN","0",,"0",,"0",
"Summer Camp","0","","0",,"0",,"0",,"0",,"0.0","esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"Terraforming Mars","59.9","cultodacaixa.pt","75.95","in stock","72.9","Disponível","0",,"69.99","Em stock","67.0","em 17 dias","59.99","Fuera de stock","59.9","Em stock","64.9","Only 2 left in stock","71.99","Disponivel","0",,"62.99","Este producto ya no está disponible","10000.0","Not found.","0",
"Terraforming Mars: Prelude","0","","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Tiny Towns","35.04","jogonamesa.pt","44.95","Delivery in 1 to 2 weeks time","0",,"0",,"42.95","Em stock","35.04","em 24 dias","35.99","Fuera de stock","39.9","Out of stock","0",,"0",,"0",,"0",,"10000.0","Not found.","0",
"Troyes","36.46","jogonamesa.pt","0",,"0",,"0",,"49.95","Última unidade em stock","36.46","17 dias","44.99","Fuera de stock","0.0","esgotado","0",,"44.99","Disponível","44.95","EN REPOSICIÓN","44.99","Este producto ya no está disponible","10000.0","Not found.","0",
"Tungaru","37.19","jogonamesa.pt","0",,"0",,"0",,"0",,"37.19","Esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"Wingspan: Oceania Expansion","0","","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Love to Have","0","","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Anachrony","44.33","jogonamesa.pt","62.28","in stock","0",,"53.19","Últimos artigos em stock","54.95","Em stock","44.33","33 dias","64.95","Fuera de stock","49.9","Out of stock","0",,"55.99","Encomenda ao Fornecedor","56.65","EN REPOSICIÓN","58.5","Producto en stock","10000.0","Not found.","0",
"Architects of the West Kingdom","44.2","jogonamesa.pt","57.95","in stock","53.9","Disponível","55.09","Esgotado","55.0","Em stock","44.2","em 33 dias","0",,"47.9","Em stock","47.9","In stock","57.99","Disponível","0",,"0",,"10000.0","Not found.","0",
"Barenpark","28.99","jogonamesa.pt","0",,"0",,"43.99","Esgotado","32.99","Esgotado","28.99","17 dias","0",,"0.0","esgotado","39.9","Only 1 left in stock","49.49","Disponível","30.6","EN REPOSICIÓN","0",,"10000.0","Not found.","0",
"Beez","32.41","jogonamesa.pt","0",,"0",,"0",,"44.95","Em stock","32.41","em 17 dias","39.99","Últimas unidades en stock","0.0","esgotado","43.9","Only 1 left in stock","0",,"35.96","PRE-PEDIDO. DISPONIBLE A FINALES DE SEPTIEMBRE DE 2021","0",,"0",,"0",
"Brass: Birmingham","50.96","juegosdelamesaredonda.com","69.95","in stock","0",,"74.99","","74.95","Em stock","59.0","17 dias","54.0","Disponible","59.9","Em stock","0",,"73.99","Disponivel","50.96","EN STOCK","54.0","Este producto ya no está disponible","10000.0","Not found.","0",
"Camel Up","24.95","juegosdelamesaredonda.com","0",,"0",,"0",,"0",,"0",,"0",,"0.0","esgotado","0",,"0",,"24.95","EN REPOSICIÓN","26.95","Este producto ya no está disponible","0",,"0",
"Camel Up 2.0","38.53","jogonamesa.pt","0",,"0",,"0",,"40.95","Em stock","38.53","em 24 dias","40.45","Disponible","0",,"0",,"44.99","Encomenda ao fornecedor","0",,"40.46","Producto en stock","10000.0","Not found.","0",
"Century: Spice Road","35.96","juegosdelamesaredonda.com","0",,"0",,"0",,"37.99","Em stock","37.0","em 24 dias","0",,"0.0","esgotado","0",,"40.49","Encomenda ao fornecedor","35.96","EN REPOSICIÓN","0",,"10000.0","Not found.","0",
"Citadels","14.0","jogonamesa.pt","19.95","Delivery in 1 to 2 weeks time","0",,"16.99","Esgotado","14.5","Última unidade em stock","14.0","em 33 dias","0",,"0.0","esgotado","0",,"0",,"0",,"22.95","Este producto ya no está disponible","10000.0","Not found.","0",
"Coimbra","38.9","cultodacaixa.pt","0",,"0",,"0",,"49.95","Restock","0.0","esgotado","44.99","Fuera de stock","38.9","Out of stock","0",,"54.99","Encomenda ao fornecedor","44.95","EN REPOSICIÓN","40.49","Este producto ya no está disponible","10000.0","Not found.","0",
"Concept","29.0","jogonamesa.pt","39.95","Delivery in 1 to 2 weeks time","0",,"0",,"32.99","Em stock","29.0","em 17 dias","0",,"0.0","esgotado","0",,"34.99","Disponível","0",,"0",,"0",,"0",
"Crisis","50.84","jogonamesa.pt","0",,"0",,"0",,"0",,"50.84","Esgotado","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Cubitos","57.66","jogonamesa.pt","0",,"0",,"0",,"0",,"57.66","Esgotado","0",,"0.0","esgotado","59.9","Only 1 left in stock","58.49","Disponível","0",,"0",,"0",,"0",
"Divvy Dice","11.51","jogonamesa.pt","0",,"0",,"0",,"12.5","Em stock","11.51","em 24 dias","0",,"0.0","esgotado","0",,"0",,"19.76","EN REPOSICIÓN","0",,"10000.0","Not found.","0",
"Everdell","49.9","cultodacaixa.pt","74.95","in stock","69.9","Disponível","74.99","","65.99","Em stock","52.64","em 17 dias","0",,"49.9","Em stock","62.9","Only 2 left in stock","74.99","Disponível","61.16","EN REPOSICIÓN","0",,"0",,"0",
"Evolution","34.95","jogonamesa.pt","0",,"0",,"0",,"39.99","Em stock","34.95","em 33 dias","39.95","Fuera de stock","0",,"0",,"53.99","Encomenda ao fornecedor","43.15","EN REPOSICIÓN","0",,"0",,"0",
"Evolution Climate","52.5","jogonamesa.pt","0",,"0",,"0",,"62.99","Última unidade em stock","52.5","Esgotado","54.95","Fuera de stock","0.0","esgotado","64.9","Only 2 left in stock","0",,"62.95","EN REPOSICIÓN","0",,"0",,"0",
"Fairy Tale","19.95","gameplay.pt","0",,"0",,"0",,"19.95","Em stock","0.0","esgotado","19.95","Últimas unidades en stock","0.0","esgotado","0",,"0",,"19.95","EN REPOSICIÓN","19.95","Este producto ya no está disponible","0",,"0",
"Fine Sand","30.99","jogonamesa.pt","0",,"0",,"0",,"0",,"30.99","Esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"Imhotep","35.82","jogonamesa.pt","0",,"0",,"0",,"39.95","Última unidade em stock","35.82","em 17 dias","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"Juicy Fruits","29.8","jogonamesa.pt","0",,"0",,"0",,"0",,"29.8","em 24 dias","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Kingdomino","17.95","juegosdelamesaredonda.com","0",,"0",,"24.59","Últimos artigos em stock","19.35","Em stock","18.5","Not found.","17.95","Disponible","0.0","esgotado","18.9","Only 1 left in stock","0",,"17.95","EN STOCK","17.95","Producto en stock","10000.0","Not found.","0",
"Last Will","31.46","www.planetongames.com","0",,"0",,"0",,"35.95","Última unidade em stock","32.21","33 dias","0",,"0.0","esgotado","0",,"0",,"34.19","EN REPOSICIÓN","31.46","Este producto ya no está disponible","10000.0","Not found.","0",
"Linko!","0","","0",,"0",,"0",,"0",,"0.0","esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"Luxor","34.15","juegosdelamesaredonda.com","0",,"44.9","Temporariamente Esgotado","0",,"43.64","Esgotado","38.06","17 dias","36.95","Fuera de stock","0.0","esgotado","0",,"0",,"34.15","EN REPOSICIÓN","40.5","Este producto ya no está disponible","0",,"0",
"Masters of Mutanite","0","","0",,"0",,"0",,"0",,"0.0","esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"New York 1901","26.24","arenaporto.com","0",,"0",,"26.24","Esgotado","33.95","Restock","0.0","esgotado","31.5","Disponible","0.0","esgotado","0",,"0",,"31.49","EN REPOSICIÓN","31.5","Producto en stock","10000.0","Not found.","0",
"New York Slice","0","","0",,"0",,"0",,"0",,"0.0","esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"Pizzeria","0","","0",,"0",,"0",,"0",,"0.0","esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"Oceans","55.9","gglounge.pt","0",,"0",,"0",,"0",,"0",,"0",,"0",,"55.9","Only 1 left in stock","0",,"0",,"0",,"0",,"0",
"Orleans","39.9","cultodacaixa.pt","0",,"0",,"0",,"49.95","Última unidade em stock","45.0","em 24 dias","44.95","Últimas unidades en stock","39.9","Em stock","47.5","Only 1 left in stock","74.99","Encomenda ao fornecedor, entrega em 1 a 2 semanas","40.5","EN REPOSICIÓN","44.96","Este producto ya no está disponible","10000.0","Not found.","0",
"PARKS","46.76","jogonamesa.pt","0",,"0",,"59.99","Últimos artigos em stock","53.95","Em stock","46.76","em 17 dias","0",,"0.0","esgotado","49.9","Only 1 left in stock","59.99","Encomenda ao fornecedor","0",,"0",,"10000.0","Not found.","0",
"Pipeline","46.79","dracotienda.com","0",,"0",,"0",,"69.99","Esgotado","61.66","Esgotado","46.79","Fuera de stock","0",,"0",,"0",,"59.59","EN REPOSICIÓN","0",,"0",,"0",
