"","","","kultgames","","versusgamecenter","","arenaporto","","gameplay","","jogonamesa","","dracotienda","","cultodacaixa","","gglounge","","diver","","juegosdelamesaredonda","","planetongames","","amazon.es","","devir"
"Code 777","41.61","jogonamesa.pt","0",,"0",,"0",,"0",,"41.61","Esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"Coffee Traders","93.95","jogonamesa.pt","0",,"0",,"0",,"0",,"93.95","Esgotado","104.95","Fuera de stock","104.9","Not found.","0",,"0",,"94.45","EN REPOSICIÓN","0",,"0",,"0",
"The Colonists","65.62","jogonamesa.pt","0",,"0",,"0",,"0",,"65.62","Esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"71.99","Este producto ya no está disponible","10000.0","Not found.","0",
"Concordia","36.9","cultodacaixa.pt","0",,"43.9","Disponível","49.99","Últimos artigos em stock","43.95","Em stock","39.64","em 17 dias","39.95","Últimas unidades en stock","36.9","Em stock","38.9","Only 1 left in stock","79.99","Encomenda ao fornecedor","0",,"0",,"10000.0","Not found.","0",
"Coup","14.9","gglounge.pt","16.95","in stock","0",,"18.99","Esgotado","16.5","Em stock","15.5","17 dias","0",,"0.0","esgotado","14.9","Only 2 left in stock","22.99","Disponível","0",,"15.29","Este producto ya no está disponible","10000.0","Not found.","0",
"Dice Throne: Season One","47.66","juegosdelamesaredonda.com","56.95","Delivery in 1 to 2 weeks time","0",,"0",,"0",,"0.0","esgotado","0",,"0.0","esgotado","0",,"0",,"47.66","EN REPOSICIÓN","0",,"0",,"0",
"Elysium","39.99","www.planetongames.com","56.95","Delivery in 1 to 2 weeks time","0",,"41.59","Últimos artigos em stock","0",,"0.0","esgotado","0",,"0.0","esgotado","0",,"0",,"40.5","EN REPOSICIÓN","39.99","Producto en stock","10000.0","Not found.","0",
"Fantasy Realms","19.81","jogonamesa.pt","0",,"0",,"0",,"22.95","Esgotado","19.81","Esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"Flamme Rouge","26.95","dracotienda.com","0",,"0",,"39.99","Esgotado","39.99","Em stock","35.0","em 24 dias","26.95","Fuera de stock","34.9","Out of stock","0",,"47.99","Encomenda ao fornecedor, entrega em 1 a 2 semanas","35.55","EN REPOSICIÓN","40.5","Este producto ya no está disponible","10000.0","Not found.","0",
"The Isle of Cats","46.12","jogonamesa.pt","0",,"0",,"56.99","Últimos artigos em stock","57.95","Última unidade em stock","46.12","em 33 dias","0",,"0",,"49.0","Only 1 left in stock","56.99","Encomenda a Fornecedor","0",,"0",,"0",,"0",
"Isle of Skye: From Chieftain to King","27.0","juegosdelamesaredonda.com","0",,"0",,"56.99","Últimos artigos em stock","32.99","Em stock","31.21","em 24 dias","0",,"0.0","esgotado","0",,"31.49","Encomenda ao fornecedor","27.0","EN REPOSICIÓN","0",,"10000.0","Not found.","0",
"Monster Expedition","0","","0",,"0",,"0",,"0",,"0.0","esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"10000.0","Not found.","0",
"The One Hundred Torii","31.13","jogonamesa.pt","0",,"0",,"44.99","Esgotado","0",,"31.13","em 17 dias","0",,"0.0","esgotado","0",,"40.49","Disponível","0",,"0",,"0",,"0",
"Paladins of the West Kingdom","45.03","jogonamesa.pt","51.95","Delivery in 1 to 2 weeks time","0",,"73.79","Últimos artigos em stock","59.95","Em stock","45.03","17 dias","0",,"0.0","esgotado","54.9","Only 2 left in stock","57.99","Encomenda ao fornecedor","0",,"0",,"10000.0","Not found.","0",
"Point Salad","11.0","jogonamesa.pt","0",,"0",,"0",,"17.21","Em stock","11.0","em 33 dias","0",,"0.0","esgotado","11.9","Only 1 left in stock","24.99","Disponível","0",,"0",,"10000.0","Not found.","0",
"Power Grid","29.95","dracotienda.com","49.95","Delivery in 1 to 2 weeks time","0",,"0",,"51.5","Última unidade em stock","40.93","em 17 dias","29.95","Fuera de stock","0.0","esgotado","0",,"49.95","Esse produto já não se encontra disponível","0",,"0",,"10000.0","Not found.","0",
"The Red Cathedral","19.9","cultodacaixa.pt","0",,"0",,"26.99","Últimos artigos em stock","26.18","Em stock","25.0","Esgotado","0",,"19.9","Out of stock","0",,"0",,"24.25","EN STOCK","24.3","Producto en stock","0",,"2000.0","not implemented yet"
"Villagers","24.6","jogonamesa.pt","29.95","Delivery in 1 to 2 weeks time","0",,"28.49","Esgotado","26.9","Restock","24.6","em 17 dias","0",,"0.0","esgotado","0",,"29.99","Encomenda ao Fornecedor","0",,"0",,"10000.0","Not found.","0",
